K,c_K_autolyap,c_K_kim
1,2.500000088710e-01,2.500000000000e-01
2,1.111111341043e-01,1.111111111111e-01
3,6.250000924558e-02,6.250000000000e-02
4,4.000000477488e-02,4.000000000000e-02
5,2.777779339860e-02,2.777777777778e-02
6,2.040827948456e-02,2.040816326531e-02
7,1.562507992391e-02,1.562500000000e-02
8,1.234570099287e-02,1.234567901235e-02
9,1.000001894174e-02,1.000000000000e-02
10,8.264532886570e-03,8.264462809917e-03
11,6.944521028432e-03,6.944444444444e-03
12,5.917242738902e-03,5.917159763314e-03
13,5.102082405047e-03,5.102040816327e-03
14,4.444539356149e-03,4.444444444444e-03
15,3.906257359473e-03,3.906250000000e-03
16,3.460292717171e-03,3.460207612457e-03
17,3.086467547721e-03,3.086419753086e-03
18,2.770151233134e-03,2.770083102493e-03
19,2.500326614384e-03,2.500000000000e-03
20,2.267594361514e-03,2.267573696145e-03
21,2.066165470276e-03,2.066115702479e-03
22,1.890463131793e-03,1.890359168242e-03
23,1.736323757102e-03,1.736111111111e-03
24,1.600039763478e-03,1.600000000000e-03
25,1.479355897136e-03,1.479289940828e-03
26,1.371838921507e-03,1.371742112483e-03
27,1.275652777550e-03,1.275510204082e-03
28,1.189257995659e-03,1.189060642093e-03
29,1.111375286090e-03,1.111111111111e-03
30,1.040897246674e-03,1.040582726327e-03
31,9.768715228730e-04,9.765625000000e-04
32,9.185886669565e-04,9.182736455464e-04
33,8.654547246728e-04,8.650519031142e-04
34,8.168016968634e-04,8.163265306122e-04
35,7.720407861321e-04,7.716049382716e-04
36,7.307658854173e-04,7.304601899196e-04
37,6.927923071444e-04,6.925207756233e-04
38,6.578144057358e-04,6.574621959237e-04
39,6.250214418208e-04,6.250000000000e-04
40,5.949304137413e-04,5.948839976205e-04
41,5.669610961604e-04,5.668934240363e-04
42,5.410894464323e-04,5.408328826393e-04
43,5.167937250267e-04,5.165289256198e-04
44,4.939581421576e-04,4.938271604938e-04
45,4.727637116358e-04,4.725897920605e-04
46,4.529328042206e-04,4.526935264826e-04
47,4.345396578272e-04,4.340277777778e-04
48,4.165608399655e-04,4.164931278634e-04
49,4.001001217017e-04,4.000000000000e-04
50,3.846021393331e-04,3.844675124952e-04
51,3.700003011940e-04,3.698224852071e-04
52,3.562214333175e-04,3.559985760057e-04
53,3.432536929833e-04,3.429355281207e-04
54,3.309864548906e-04,3.305785123967e-04
55,3.193867216299e-04,3.188775510204e-04
56,3.084139533616e-04,3.077870113881e-04
57,2.973581103350e-04,2.972651605232e-04
58,2.873904235563e-04,2.872737719046e-04
59,2.779162002771e-04,2.777777777778e-04
60,2.689047210025e-04,2.687449610320e-04
61,2.603189922587e-04,2.601456815817e-04
62,2.521250206855e-04,2.519526329050e-04
63,2.443082294542e-04,2.441406250000e-04
64,2.368407627083e-04,2.366863905325e-04
65,2.297055716289e-04,2.295684113866e-04
66,2.229288313946e-04,2.227667631989e-04
67,2.164550881009e-04,2.162629757785e-04
68,2.102741690149e-04,2.100399075824e-04
69,2.043767046232e-04,2.040816326531e-04
70,1.985042977150e-04,1.983733386233e-04
71,1.931983618251e-04,1.929012345679e-04
72,1.880133787776e-04,1.876524676299e-04
73,1.830688034768e-04,1.826150474799e-04
74,1.779247981868e-04,1.777777777778e-04
75,1.733720387845e-04,1.731301939058e-04
76,1.690101631082e-04,1.686625063248e-04
77,1.648104335055e-04,1.643655489809e-04
78,1.603041720527e-04,1.602307322544e-04
79,1.568961589296e-04,1.562500000000e-04
80,1.531955980367e-04,1.524157902759e-04
81,1.488767913647e-04,1.487209994051e-04
82,1.453400266698e-04,1.451589490492e-04
83,1.419236978389e-04,1.417233560091e-04
84,1.386053113483e-04,1.384083044983e-04
85,1.354517778988e-04,1.352082206598e-04
86,1.323681910554e-04,1.321178491214e-04
87,1.293987958565e-04,1.291322314050e-04
88,1.265306522780e-04,1.262466860245e-04
89,1.237643828915e-04,1.234567901235e-04
90,1.210718786883e-04,1.207583625166e-04
91,1.184807029262e-04,1.181474480151e-04
92,1.159504846743e-04,1.156203029252e-04
93,1.135312842329e-04,1.131733816206e-04
94,1.111777682597e-04,1.108033240997e-04
95,1.088866795060e-04,1.085069444444e-04
96,1.066885108665e-04,1.062812201084e-04
97,1.045491943127e-04,1.041232819658e-04
98,1.021267674032e-04,1.020304050607e-04
99,1.004558476333e-04,1.000000000000e-04
100,9.856317445206e-05,9.802960494069e-05
