gamma,rho_autolyap,rho_theory
0.050000000000,9.072265625000e-01,9.070294784580e-01
0.100000000000,8.271484375000e-01,8.264462809917e-01
0.150000000000,7.568359375000e-01,7.561436672968e-01
0.200000000000,6.953125000000e-01,6.944444444444e-01
0.250000000000,6.406250000000e-01,6.400000000000e-01
0.300000000000,5.917968750000e-01,5.917159763314e-01
0.350000000000,5.488281250000e-01,5.486968449931e-01
0.400000000000,5.107421875000e-01,5.102040816327e-01
0.450000000000,4.765625000000e-01,4.756242568371e-01
0.500000000000,4.453125000000e-01,4.444444444444e-01
0.550000000000,4.169921875000e-01,4.162330905307e-01
0.600000000000,3.906250000000e-01,3.906250000000e-01
0.650000000000,3.681640625000e-01,3.673094582185e-01
0.700000000000,3.466796875000e-01,3.460207612457e-01
0.750000000000,3.603515625000e-01,3.600000000000e-01
0.800000000000,3.789062500000e-01,3.786982248521e-01
0.850000000000,3.964843750000e-01,3.964334705075e-01
0.900000000000,4.140625000000e-01,4.132653061224e-01
0.950000000000,4.296875000000e-01,4.292508917955e-01
1.000000000000,4.453125000000e-01,4.444444444444e-01
1.050000000000,4.589843750000e-01,4.588969823101e-01
1.100000000000,4.726562500000e-01,4.726562500000e-01
1.150000000000,4.863281250000e-01,4.857667584940e-01
1.200000000000,4.990234375000e-01,4.982698961938e-01
1.250000000000,5.107421875000e-01,5.102040816327e-01
1.300000000000,5.224609375000e-01,5.216049382716e-01
1.350000000000,5.332031250000e-01,5.325054784514e-01
1.400000000000,5.429687500000e-01,5.429362880886e-01
1.450000000000,5.537109375000e-01,5.529257067719e-01
1.500000000000,5.625000000000e-01,5.625000000000e-01
1.550000000000,5.722656250000e-01,5.716835217133e-01
1.600000000000,5.810546875000e-01,5.804988662132e-01
1.650000000000,5.898437500000e-01,5.889670091942e-01
1.700000000000,5.976562500000e-01,5.971074380165e-01
1.750000000000,6.054687500000e-01,6.049382716049e-01
1.800000000000,6.132812500000e-01,6.124763705104e-01
1.850000000000,6.201171875000e-01,6.197374377546e-01
1.900000000000,6.269531250000e-01,6.267361111111e-01
1.950000000000,6.337890625000e-01,6.334860474802e-01
2.000000000000,6.406250000000e-01,6.400000000000e-01
2.050000000000,6.464843750000e-01,6.462898885044e-01
2.100000000000,6.533203125000e-01,6.523668639053e-01
2.150000000000,6.591796875000e-01,6.582413670345e-01
2.200000000000,6.640625000000e-01,6.639231824417e-01
2.250000000000,6.699218750000e-01,6.694214876033e-01
2.300000000000,6.748046875000e-01,6.747448979592e-01
2.350000000000,6.806640625000e-01,6.799015081564e-01
2.400000000000,6.855468750000e-01,6.848989298454e-01
2.450000000000,6.904296875000e-01,6.897443263430e-01
2.500000000000,6.953125000000e-01,6.944444444444e-01
2.550000000000,6.992187500000e-01,6.990056436442e-01
2.600000000000,7.041015625000e-01,7.034339229969e-01
2.650000000000,7.080078125000e-01,7.077349458302e-01
2.700000000000,7.119140625000e-01,7.119140625000e-01
2.750000000000,7.167968750000e-01,7.159763313609e-01
2.800000000000,7.207031250000e-01,7.199265381084e-01
2.850000000000,7.246093750000e-01,7.237692136333e-01
2.900000000000,7.275390625000e-01,7.275086505190e-01
2.950000000000,7.314453125000e-01,7.311489182945e-01
3.000000000000,7.353515625000e-01,7.346938775510e-01
3.050000000000,7.382812500000e-01,7.381471930173e-01
3.100000000000,7.421875000000e-01,7.415123456790e-01
3.150000000000,7.451171875000e-01,7.447926440233e-01
3.200000000000,7.480468750000e-01,7.479912344777e-01
3.250000000000,7.519531250000e-01,7.511111111111e-01
3.300000000000,7.548828125000e-01,7.541551246537e-01
3.350000000000,7.578125000000e-01,7.571259908922e-01
3.400000000000,7.607421875000e-01,7.600262984878e-01
3.450000000000,7.636718750000e-01,7.628585162634e-01
3.500000000000,7.656250000000e-01,7.656250000000e-01
3.550000000000,7.685546875000e-01,7.683279987807e-01
3.600000000000,7.714843750000e-01,7.709696609161e-01
3.650000000000,7.744140625000e-01,7.735520394832e-01
3.700000000000,7.763671875000e-01,7.760770975057e-01
3.750000000000,7.792968750000e-01,7.785467128028e-01
3.800000000000,7.812500000000e-01,7.809626825311e-01
3.850000000000,7.841796875000e-01,7.833267274409e-01
3.900000000000,7.861328125000e-01,7.856404958678e-01
3.950000000000,7.880859375000e-01,7.879055674789e-01
4.000000000000,7.910156250000e-01,7.901234567901e-01
4.050000000000,7.929687500000e-01,7.922956164714e-01
4.100000000000,7.949218750000e-01,7.944234404537e-01
4.150000000000,7.968750000000e-01,7.965082668517e-01
4.200000000000,7.988281250000e-01,7.985513807153e-01
4.250000000000,8.007812500000e-01,8.005540166205e-01
4.300000000000,8.027343750000e-01,8.025173611111e-01
4.350000000000,8.046875000000e-01,8.044425550005e-01
4.400000000000,8.066406250000e-01,8.063306955435e-01
4.450000000000,8.085937500000e-01,8.081828384859e-01
4.500000000000,8.105468750000e-01,8.100000000000e-01
4.550000000000,8.125000000000e-01,8.117831585139e-01
4.600000000000,8.144531250000e-01,8.135332564398e-01
4.650000000000,8.154296875000e-01,8.152512018098e-01
4.700000000000,8.173828125000e-01,8.169378698225e-01
4.750000000000,8.193359375000e-01,8.185941043084e-01
4.800000000000,8.203125000000e-01,8.202207191171e-01
4.850000000000,8.222656250000e-01,8.218184994323e-01
4.900000000000,8.242187500000e-01,8.233882030178e-01
4.950000000000,8.251953125000e-01,8.249305614006e-01
5.000000000000,8.271484375000e-01,8.264462809917e-01
