gamma,delta,rho
0.010000000000,-0.979797979798,0.994964462483
0.033131313131,-0.979797979798,0.992681351525
0.010000000000,-0.959595959596,0.994913506439
0.033131313131,-0.959595959596,0.983286380769
0.056262626263,-0.959595959596,0.975279147900
0.079393939394,-0.959595959596,0.998558253069
0.010000000000,-0.939393939394,0.994860030565
0.033131313131,-0.939393939394,0.983113094113
0.056262626263,-0.939393939394,0.971554809276
0.079393939394,-0.939393939394,0.960182173643
0.102525252525,-0.939393939394,0.980921622955
0.010000000000,-0.919191919192,0.994806299323
0.033131313131,-0.919191919192,0.982936866582
0.056262626263,-0.919191919192,0.971258997917
0.079393939394,-0.919191919192,0.959770143032
0.102525252525,-0.919191919192,0.948469592491
0.125656565657,-0.919191919192,0.963251819724
0.148787878788,-0.919191919192,0.986730993145
0.010000000000,-0.898989898990,0.994750380575
0.033131313131,-0.898989898990,0.982755123663
0.056262626263,-0.898989898990,0.970957160263
0.079393939394,-0.898989898990,0.959350369871
0.102525252525,-0.898989898990,0.947933829591
0.125656565657,-0.898989898990,0.936704667084
0.148787878788,-0.898989898990,0.945580623828
0.171919191919,-0.898989898990,0.968831550796
0.195050505051,-0.898989898990,0.992696087886
0.010000000000,-0.878787878788,0.994694113733
0.033131313131,-0.878787878788,0.982571241494
0.056262626263,-0.878787878788,0.970648690123
0.079393939394,-0.878787878788,0.958920925473
0.102525252525,-0.878787878788,0.947385677806
0.125656565657,-0.878787878788,0.936043035232
0.148787878788,-0.878787878788,0.924887150293
0.171919191919,-0.878787878788,0.927979513752
0.195050505051,-0.878787878788,0.950909353061
0.218181818182,-0.878787878788,0.974568248710
0.241313131313,-0.878787878788,0.998820333042
0.010000000000,-0.858585858586,0.994636973741
0.033131313131,-0.858585858586,0.982383966447
0.056262626263,-0.858585858586,0.970333576232
0.079393939394,-0.858585858586,0.958482204398
0.102525252525,-0.858585858586,0.946827714461
0.125656565657,-0.858585858586,0.935367212292
0.148787878788,-0.858585858586,0.924097745096
0.171919191919,-0.858585858586,0.913016469334
0.195050505051,-0.858585858586,0.910636613004
0.218181818182,-0.858585858586,0.932988957222
0.241313131313,-0.858585858586,0.956412211358
0.264444444444,-0.858585858586,0.980461628321
0.010000000000,-0.838383838384,0.994578725659
0.033131313131,-0.838383838384,0.982190128283
0.056262626263,-0.838383838384,0.970011474831
0.079393939394,-0.838383838384,0.958033442497
0.102525252525,-0.838383838384,0.946256568648
0.125656565657,-0.838383838384,0.934676629942
0.148787878788,-0.838383838384,0.923290729523
0.171919191919,-0.838383838384,0.912097096385
0.195050505051,-0.838383838384,0.901091334878
0.218181818182,-0.838383838384,0.894182531042
0.241313131313,-0.838383838384,0.915108044492
0.264444444444,-0.838383838384,0.938245093666
0.287575757576,-0.838383838384,0.962072746684
0.310707070707,-0.838383838384,0.986514149816
0.010000000000,-0.818181818182,0.994517801329
0.033131313131,-0.818181818182,0.981993931290
0.056262626263,-0.818181818182,0.969681620585
0.079393939394,-0.818181818182,0.957575716083
0.102525252525,-0.818181818182,0.945672861131
0.125656565657,-0.818181818182,0.933970944087
0.148787878788,-0.818181818182,0.922466870011
0.171919191919,-0.818181818182,0.911157764824
0.195050505051,-0.818181818182,0.900040632837
0.218181818182,-0.818181818182,0.889112500474
0.241313131313,-0.818181818182,0.879542232925
0.264444444444,-0.818181818182,0.897324823185
0.287575757576,-0.818181818182,0.920089781284
0.310707070707,-0.818181818182,0.943667826972
0.333838383838,-0.818181818182,0.967890833094
0.356969696970,-0.818181818182,0.992728438464
0.010000000000,-0.797979797980,0.994457244881
0.033131313131,-0.797979797980,0.981793515680
0.056262626263,-0.797979797980,0.969345725295
0.079393939394,-0.797979797980,0.957107242070
0.102525252525,-0.797979797980,0.945076118748
0.125656565657,-0.797979797980,0.933248322457
0.148787878788,-0.797979797980,0.921624302886
0.171919191919,-0.797979797980,0.910197535026
0.195050505051,-0.797979797980,0.898966103785
0.218181818182,-0.797979797980,0.887927299317
0.241313131313,-0.797979797980,0.877077894417
0.264444444444,-0.797979797980,0.866414996067
0.287575757576,-0.797979797980,0.879731231034
0.310707070707,-0.797979797980,0.901976943012
0.333838383838,-0.797979797980,0.925264908001
0.356969696970,-0.797979797980,0.949249297601
0.380101010101,-0.797979797980,0.973868414273
0.403232323232,-0.797979797980,0.999107136849
0.010000000000,-0.777777777778,0.994394108661
0.033131313131,-0.777777777778,0.981588055844
0.056262626263,-0.777777777778,0.969001576429
0.079393939394,-0.777777777778,0.956628224949
0.102525252525,-0.777777777778,0.944465931506
0.125656565657,-0.777777777778,0.932511824813
0.148787878788,-0.777777777778,0.920762591064
0.171919191919,-0.777777777778,0.909215756801
0.195050505051,-0.777777777778,0.897867756841
0.218181818182,-0.777777777778,0.886715654752
0.241313131313,-0.777777777778,0.875756206331
0.264444444444,-0.777777777778,0.864987164735
0.287575757576,-0.777777777778,0.854404687874
