K,c_K_autolyap,c_K_nesterov_lambda,c_K_nesterov_simple
1,1.666666757628e-01,1.909830056251e-01,2.222222222222e-01
2,8.987136903089e-02,1.039163781363e-01,1.250000000000e-01
3,5.762905639879e-02,6.612573685376e-02,8.000000000000e-02
4,4.055411290794e-02,4.605649508558e-02,5.555555555556e-02
5,3.027264576364e-02,3.403946271587e-02,4.081632653061e-02
6,2.354732479946e-02,2.624133010039e-02,3.125000000000e-02
7,1.888385156637e-02,2.087897653833e-02,2.469135802469e-02
8,1.550612179006e-02,1.702612628980e-02,2.000000000000e-02
9,1.297530894324e-02,1.416079605605e-02,1.652892561983e-02
10,1.102681620665e-02,1.196977912198e-02,1.388888888889e-02
11,9.492771598590e-03,1.025550722070e-02,1.183431952663e-02
12,8.262224255138e-03,8.888162156642e-03,1.020408163265e-02
13,7.259311064116e-03,7.779491453952e-03,8.888888888889e-03
14,6.430643896870e-03,6.867746567696e-03,7.812500000000e-03
15,5.737729480188e-03,6.108642015466e-03,6.920415224913e-03
16,5.152216550745e-03,5.469727829367e-03,6.172839506173e-03
17,4.652834201368e-03,4.926775025659e-03,5.540166204986e-03
18,4.223358170853e-03,4.461389573628e-03,5.000000000000e-03
19,3.851257534842e-03,4.059398870628e-03,4.535147392290e-03
20,3.526642942996e-03,3.709736993420e-03,4.132231404959e-03
21,3.241732024414e-03,3.403659651017e-03,3.780718336484e-03
22,2.990265599420e-03,3.134181716144e-03,3.472222222222e-03
23,2.767176792251e-03,2.895667897138e-03,3.200000000000e-03
24,2.568327164351e-03,2.683530602847e-03,2.958579881657e-03
25,2.390310649880e-03,2.494004023210e-03,2.743484224966e-03
26,2.230300178014e-03,2.323973181938e-03,2.551020408163e-03
27,2.085936872609e-03,2.170843163768e-03,2.378121284185e-03
28,1.955225408072e-03,2.032438059900e-03,2.222222222222e-03
29,1.836498414797e-03,1.906922144469e-03,2.081165452653e-03
30,1.728326021050e-03,1.792737854827e-03,1.953125000000e-03
31,1.629489722347e-03,1.688556596720e-03,1.836547291093e-03
32,1.538939769732e-03,1.593239426154e-03,1.730103806228e-03
33,1.455771361163e-03,1.505805401833e-03,1.632653061224e-03
34,1.379201125379e-03,1.425405941981e-03,1.543209876543e-03
35,1.308545697797e-03,1.351303916260e-03,1.460920379839e-03
36,1.243209975524e-03,1.282856497906e-03,1.385041551247e-03
37,1.182668746483e-03,1.219501021587e-03,1.314924391847e-03
38,1.126464632603e-03,1.160743258832e-03,1.250000000000e-03
39,1.074192650643e-03,1.106147649386e-03,1.189767995241e-03
40,1.025491594492e-03,1.055329123825e-03,1.133786848073e-03
41,9.800406435397e-04,1.007946227572e-03,1.081665765279e-03
42,9.375585473822e-04,9.636953146024e-04,1.033057851240e-03
43,8.977940272131e-04,9.223056245783e-04,9.876543209877e-04
44,8.605102659543e-04,8.835350928867e-04,9.451795841210e-04
45,8.255079274689e-04,8.471667713430e-04,9.053870529651e-04
46,7.926061296543e-04,8.130057598083e-04,8.680555555556e-04
47,7.616403596894e-04,7.808765669499e-04,8.329862557268e-04
48,7.324619170988e-04,7.506208328246e-04,8.000000000000e-04
49,7.049342608948e-04,7.220953576232e-04,7.689350249904e-04
50,6.789355829169e-04,6.951703903784e-04,7.396449704142e-04
51,6.543542329230e-04,6.697281391406e-04,7.119971520114e-04
52,6.310864891190e-04,6.456614704271e-04,6.858710562414e-04
53,6.090415136812e-04,6.228727709278e-04,6.611570247934e-04
54,5.881371877062e-04,6.012729487159e-04,6.377551020408e-04
55,5.682903790008e-04,5.807805547398e-04,6.155740227762e-04
56,5.494349388247e-04,5.613210083090e-04,5.945303210464e-04
57,5.315034093463e-04,5.428259127244e-04,5.745475438093e-04
58,5.144367854758e-04,5.252324492485e-04,5.555555555556e-04
59,4.981804010891e-04,5.084828393223e-04,5.374899220640e-04
60,4.826841888862e-04,4.925238663776e-04,5.202913631634e-04
61,4.679023651181e-04,4.773064498071e-04,5.039052658100e-04
