gamma,delta,rho
0.010000000000,-0.979797979798,0.994961740859
0.041818181818,-0.979797979798,0.999727588234
0.010000000000,-0.959595959596,0.994910956143
0.041818181818,-0.959595959596,0.978826327713
0.073636363636,-0.959595959596,0.987169545963
0.010000000000,-0.939393939394,0.994857788087
0.041818181818,-0.939393939394,0.978577081242
0.073636363636,-0.939393939394,0.962622046238
0.105454545455,-0.939393939394,0.972443342209
0.137272727273,-0.939393939394,0.999441653910
0.010000000000,-0.919191919192,0.994804414111
0.041818181818,-0.919191919192,0.978344510379
0.073636363636,-0.919191919192,0.962107650496
0.105454545455,-0.919191919192,0.946349469562
0.137272727273,-0.919191919192,0.955713816891
0.169090909091,-0.919191919192,0.981101142229
0.010000000000,-0.898989898990,0.994747221475
0.041818181818,-0.898989898990,0.978114945545
0.073636363636,-0.898989898990,0.961671223165
0.105454545455,-0.898989898990,0.945510320435
0.137272727273,-0.898989898990,0.929984645077
0.169090909091,-0.898989898990,0.937181998636
0.200909090909,-0.898989898990,0.960898944058
0.232727272727,-0.898989898990,0.984721739418
0.010000000000,-0.878787878788,0.994689103067
0.041818181818,-0.878787878788,0.977882508291
0.073636363636,-0.878787878788,0.961246623197
0.105454545455,-0.878787878788,0.944843284176
0.137272727273,-0.878787878788,0.928784463417
0.169090909091,-0.878787878788,0.913494211967
0.200909090909,-0.878787878788,0.917139910328
0.232727272727,-0.878787878788,0.939024978797
0.264545454545,-0.878787878788,0.961276903137
0.296363636364,-0.878787878788,0.983518032068
0.010000000000,-0.858585858586,0.994630813043
0.041818181818,-0.858585858586,0.977640577950
0.073636363636,-0.858585858586,0.960821955173
0.105454545455,-0.858585858586,0.944210886955
0.137272727273,-0.858585858586,0.927864402503
0.169090909091,-0.858585858586,0.911921383682
0.200909090909,-0.858585858586,0.896846225936
0.232727272727,-0.858585858586,0.896039494753
0.264545454545,-0.858585858586,0.915714385920
0.296363636364,-0.858585858586,0.936352194530
0.328181818182,-0.858585858586,0.957068327347
0.360000000000,-0.858585858586,0.977746186778
0.391818181818,-0.858585858586,0.998353219134
0.010000000000,-0.838383838384,0.994573716082
0.041818181818,-0.838383838384,0.977396007162
0.073636363636,-0.838383838384,0.960393100440
0.105454545455,-0.838383838384,0.943588148682
0.137272727273,-0.838383838384,0.927013134124
0.169090909091,-0.838383838384,0.910734523437
0.200909090909,-0.838383838384,0.894909291920
0.232727272727,-0.838383838384,0.880016277544
0.264545454545,-0.838383838384,0.874585333747
0.296363636364,-0.838383838384,0.891273848712
0.328181818182,-0.838383838384,0.910182818596
0.360000000000,-0.838383838384,0.929357999847
0.391818181818,-0.838383838384,0.948552461341
0.423636363636,-0.838383838384,0.967698118300
0.455454545455,-0.838383838384,0.986768871549
0.010000000000,-0.818181818182,0.994512563863
0.041818181818,-0.818181818182,0.977149963380
0.073636363636,-0.818181818182,0.959958029461
0.105454545455,-0.818181818182,0.942962900113
0.137272727273,-0.818181818182,0.926182239599
0.169090909091,-0.818181818182,0.909653872252
0.200909090909,-0.818181818182,0.893450293690
0.232727272727,-0.818181818182,0.877736751588
0.264545454545,-0.818181818182,0.862988952639
0.296363636364,-0.818181818182,0.853674464221
0.328181818182,-0.818181818182,0.866120814259
0.360000000000,-0.818181818182,0.883055845617
0.391818181818,-0.818181818182,0.900630828861
0.423636363636,-0.818181818182,0.918337538838
0.455454545455,-0.818181818182,0.936042717289
0.487272727273,-0.818181818182,0.953695536865
0.519090909091,-0.818181818182,0.971272894152
0.550909090909,-0.818181818182,0.988765808293
0.010000000000,-0.797979797980,0.994449596240
0.041818181818,-0.797979797980,0.976895212864
0.073636363636,-0.797979797980,0.959515634107
0.105454545455,-0.797979797980,0.942331687040
0.137272727273,-0.797979797980,0.925354839781
0.169090909091,-0.797979797980,0.908610119288
0.200909090909,-0.797979797980,0.892137151748
0.232727272727,-0.797979797980,0.876010838857
0.264545454545,-0.797979797980,0.860396748928
0.296363636364,-0.797979797980,0.845755979885
0.328181818182,-0.797979797980,0.834006842494
0.360000000000,-0.797979797980,0.840826180125
0.391818181818,-0.797979797980,0.855330860442
0.423636363636,-0.797979797980,0.871173118467
0.455454545455,-0.797979797980,0.887355368348
0.487272727273,-0.797979797980,0.903621984363
0.519090909091,-0.797979797980,0.919880197616
0.550909090909,-0.797979797980,0.936086837897
0.582727272727,-0.797979797980,0.952220163113
0.614545454545,-0.797979797980,0.968271072956
0.646363636364,-0.797979797980,0.984234436542
0.010000000000,-0.777777777778,0.994386508966
0.041818181818,-0.777777777778,0.976637022359
0.073636363636,-0.777777777778,0.959065078468
0.105454545455,-0.777777777778,0.941691827609
0.137272727273,-0.777777777778,0.924523739698
0.169090909091,-0.777777777778,0.907577404848
0.200909090909,-0.777777777778,0.890877913064
0.232727272727,-0.777777777778,0.874466241858
0.264545454545,-0.777777777778,0.858416741762
0.296363636364,-0.777777777778,0.842888116837
0.328181818182,-0.777777777778,0.828314693180
0.360000000000,-0.777777777778,0.815638437514
0.391818181818,-0.777777777778,0.816104815935
0.423636363636,-0.777777777778,0.827462610446
0.455454545455,-0.777777777778,0.841326239581
0.487272727273,-0.777777777778,0.855895550304
0.519090909091,-0.777777777778,0.870698583466
0.550909090909,-0.777777777778,0.885567320463
0.582727272727,-0.777777777778,0.900428110236
0.614545454545,-0.777777777778,0.915241068314
0.646363636364,-0.777777777778,0.929985346746
