K,c_K_autolyap,c_K_theory
1,1.250000047471e-01,1.250000000000e-01
2,6.189419350076e-02,6.189418239776e-02
3,3.769241007280e-02,3.769239720788e-02
4,2.558396032555e-02,2.558394204993e-02
5,1.858814726031e-02,1.858813666365e-02
6,1.415597628264e-02,1.415596586322e-02
7,1.116042702041e-02,1.116041688776e-02
8,9.036088012757e-03,9.036079367557e-03
9,7.472365072286e-03,7.472353549922e-03
10,6.286507371234e-03,6.286478666502e-03
11,5.364979889451e-03,5.364943756396e-03
12,4.634105722300e-03,4.634097269678e-03
13,4.044401417501e-03,4.044390849670e-03
14,3.561518901757e-03,3.561461268462e-03
15,3.160898979908e-03,3.160849083944e-03
16,2.824790613394e-03,2.824748656358e-03
17,2.539991005327e-03,2.539941157206e-03
18,2.296470437345e-03,2.296441731652e-03
19,2.086640619259e-03,2.086591506265e-03
20,1.904493774446e-03,1.904434435649e-03
21,1.745345149533e-03,1.745281049697e-03
22,1.605461655296e-03,1.605397547523e-03
23,1.481844515111e-03,1.481780624547e-03
24,1.372058936533e-03,1.371991989729e-03
25,1.274107774224e-03,1.274035117641e-03
26,1.186342759329e-03,1.186262328552e-03
27,1.107391760576e-03,1.107303942920e-03
28,1.036040743374e-03,1.036013704049e-03
29,9.714547481797e-04,9.714263284398e-04
30,9.127540207846e-04,9.127241939336e-04
31,8.592469069921e-04,8.592109812949e-04
32,8.103272842191e-04,8.102906560225e-04
33,7.655039438623e-04,7.654505868869e-04
34,7.242892465666e-04,7.242478948392e-04
35,6.863415144678e-04,6.862983436544e-04
36,6.513544473031e-04,6.512672447294e-04
37,6.189054408739e-04,6.188619686813e-04
38,5.888676200269e-04,5.888257468927e-04
39,5.609719177715e-04,5.609325148308e-04
40,5.350204117331e-04,5.349826014794e-04
41,5.108377839796e-04,5.107991096588e-04
42,4.882642762244e-04,4.882248633617e-04
43,4.671611366178e-04,4.671198226961e-04
44,4.474045911468e-04,4.473588862336e-04
45,4.288797924709e-04,4.288300157256e-04
46,4.114875759696e-04,4.114326301942e-04
47,3.951389492060e-04,3.950762260170e-04
48,3.797439837618e-04,3.796791873349e-04
49,3.652419659081e-04,3.651677573319e-04
50,3.515578430811e-04,3.514751459688e-04
51,3.386290875981e-04,3.385407538483e-04
52,3.264006789399e-04,3.263094952360e-04
53,3.148245461087e-04,3.147312060040e-04
54,3.038570889785e-04,3.037601245258e-04
55,2.934485583632e-04,2.933544354167e-04
56,2.835689228715e-04,2.834758675635e-04
57,2.741152024922e-04,2.740893391787e-04
58,2.652624892770e-04,2.651626436885e-04
59,2.567719431098e-04,2.566661711687e-04
60,2.486851943860e-04,2.485726607991e-04
61,2.409788496393e-04,2.408569804481e-04
62,2.336299558125e-04,2.334959300382e-04
63,2.266116429489e-04,2.264680658025e-04
64,2.199077677993e-04,2.197535429313e-04
65,2.135011000021e-04,2.133339744394e-04
66,2.073752077495e-04,2.071923043710e-04
67,2.014953689757e-04,2.013126936978e-04
68,1.958628145636e-04,1.956804174792e-04
69,1.903221540110e-04,1.902817720297e-04
70,1.851477506491e-04,1.851039909960e-04
71,1.801818278062e-04,1.801351693781e-04
72,1.754128312255e-04,1.753641946460e-04
73,1.708307726281e-04,1.707806842047e-04
74,1.664279530016e-04,1.663749285463e-04
75,1.621899615968e-04,1.621378395054e-04
76,1.581136274185e-04,1.580609031012e-04
77,1.541888893350e-04,1.541361365061e-04
78,1.504094537611e-04,1.503560487332e-04
79,1.467669491106e-04,1.467136046806e-04
80,1.432559565316e-04,1.432021922067e-04
81,1.398692648999e-04,1.398155919502e-04
82,1.366011412175e-04,1.365479496336e-04
83,1.334466948257e-04,1.333937506216e-04
84,1.304005329550e-04,1.303477965252e-04
85,1.274580571643e-04,1.274051836659e-04
86,1.246158913979e-04,1.245612832338e-04
87,1.218673118971e-04,1.218117229871e-04
88,1.192087063955e-04,1.191523703593e-04
89,1.166354223932e-04,1.165793168503e-04
90,1.141452145406e-04,1.140888635923e-04
91,1.117345593726e-04,1.116775079890e-04
92,1.094005884165e-04,1.093419313389e-04
93,1.071497822081e-04,1.070789873603e-04
94,1.049478929249e-04,1.048856915435e-04
95,1.029347573458e-04,1.027592112633e-04
96,1.007656840216e-04,1.006968565893e-04
97,9.877203322971e-05,9.869607173892e-05
98,9.683244100414e-05,9.675442712306e-05
99,9.495286581752e-05,9.486961193574e-05
100,9.313410111458e-05,9.303942724771e-05
